pkg_name,dataset_name,dataset_title,dataset_description,dataset_format,dataset_source,dataset_reference,dataset_has_examples,dataset_has_links
abcdeFBA,Ec_iAF1260_flux2,E.coli model 1260 ORF's,"This ""list"" form of the E.coli model iAF1260 was created from the S4 object created by readSBMLmod function from the package Sybil using the Sybil_2_FBA_obj function.",A list containing the information required to perform FBA and annotations for intelligible output.,BiGG database,"Feist AM, Henry CS, Reed JL, Krummenacker M, Joyce AR, Karp PD, Broadbelt LJ, Hatzimanikatis V and Palsson BO, A genome-scale metabolic reconstruction for Escherichia coli K-12 MG1655 that accounts for 1260 ORFs and thermodynamic information, Molecular Systems Biology.",FALSE,FALSE
abcdeFBA,Ec_iJR904,E.coli model 904 ORF's,"This ""list"" form of the E.coli model iJR904 was created from the S4 object created by readSBMLmod from the package Sybil using the Sybil_2_FBA_obj function.",A list containing the information required to perform FBA and annotations for intelligible output.,BiGG database,"Reed JL,Vo TD, Schilling CH and Palsson BO, An expanded genome-scale metabolic reconstruction for Escherichia coli K-12 (iJR904 GSM/GPR) Genome Biology 2003",FALSE,FALSE
abcdeFBA,H_pylori_iIT341,Helicobacter pylori by Ines Thiele,"This ""list"" form of the H. pylori model iIT341 was created from the S4 object created by readSBMLmod from the package Sybil using the Sybil_2_FBA_obj function.",A list containing the information required to perform FBA and annotations for intelligible output.,BiGG database,"Thiele I, Vo TD, Price ND, Palsson BO, Expanded Metabolic Reconstruction of Helicobacter pylori (iIT341 GSM/GPR): an In Silico Genome-Scale Characterization of Single- and Double-Deletion Mutants, Journal of Bacteriology.",FALSE,FALSE
abcdeFBA,M_barkeri_iAF629,Genome scale metabolic model for the archaeal methanogen M. Barkeri,"This ""list"" form of the M.Barkeri model was created from the S4 object created by readSBMLmod from the package Sybil using the Sybil_2_FBA_obj function.",A list containing the information required to perform FBA and annotations for intelligible output.,BiGG database,"Modeling methanogenesis with a genome scale metabolic reconstruction of Methanosarcina barkeri by Feist AM, Scholten JCM, Palsson BO",FALSE,FALSE
abcdeFBA,M_tb_iNJ661,M. tuberculosis model iNJ661,"This ""list"" form of the M.tb model iNJ661 was created from the S4 object created by readSBMLmod from the package Sybil using the Sybil_2_FBA_obj function.",A list containing the information required to perform FBA and annotations for intelligible output.,BiGG database,"Bordbar A, Lewis NE, Schellenberger J, Palsson BO, Jamshidi N, Insight into human alveolar macrophage and M. tuberculosis interactions via metabolic reconstructions, Molecular Systems Biology.",FALSE,FALSE
abcdeFBA,S_aureus_iSB619,Staphylococcus aureus model iSB619 by S.Becker,"This ""list"" form of the S. aureus model iSB619 was created from the S4 object created by readSBMLmod from the package Sybil using the Sybil_2_FBA_obj function.",A list containing the information required to perform FBA and annotations for intelligible output.,BiGG database,"Becker SA, Palsson BO, Genome-scale reconstruction of the metabolic network in Staphylococcus aureus N315: an initial draft to the two-dimensional annotation",FALSE,FALSE
abcdeFBA,S_cerevisiae_IND750,Saccharomyces Cerevisiae iND750,"This ""list"" form of the yeast model iND750 was created from the S4 object created by readSBMLmod from the package Sybil using the Sybil_2_FBA_obj function.",A list containing the information required to perform FBA and annotations for intelligible output.,BiGG database,"Duarte NC ,Herrgard MJ , Palsson BO, Reconstruction and Validation of Saccharomyces cerevisiae iND750, a Fully Compartmentalized Genome-Scale Metabolic Model, Genome Research",FALSE,FALSE
ABCp2,fungus,Sperm Precedence Data from the Fungus Beetle,Offspring counts and proportional paternity by mating order for a breeding experiment of the fungus beetle conducted by JK Conner (1995).,"A data frame with 12 observations on the following 4 variables. list(""\n"", ""    "", list(list(list(""Female"")), list(""a numeric vector to identify females."")), ""\n"", ""    "", list(list(list(""P2"")), list(""proportional paternity of the second male."")), ""\n"", ""    "", list(list(list(""Total_Offspring"")), list(""total number of offspring for the female."")), ""\n"", ""    "", list(list(list(""No_2nd_Male"")), list(""number of offspring sired by the second male."")), ""\n"", ""  "")","J. K. Conner (1995) Extreme variability in sperm precedence in the fungus beetle, list(""Bolitotherus cornutus"") (Coleoptera Tenebrionidae), list(""Ethology Ecology & Evolution"") list(""7"") , 277-280.","NA",TRUE,FALSE
ABCp2,rove,Sperm Precedence Data from the Rove Beetle,"Offspring counts and proportional paternity by mating order for a breeding experiment of the rove beetle conducted by T Benken et al., (1999).","A data frame with 17 observations on the following 4 variables. list(""\n"", ""    "", list(list(list(""Female"")), list(""a numeric vector to identify females."")), ""\n"", ""    "", list(list(list(""Total_Offspring"")), list(""total number of offspring for the female."")), ""\n"", ""    "", list(list(list(""P2"")), list(""proportional paternity of the second male."")), ""\n"", ""    "", list(list(list(""No_2nd_Male"")), list(""number of offspring sired by the second male."")), ""\n"", ""  "")","T. Benken, A. Knaak, C. Gack, M. Eberle, and K. Peschke (1999) Variation of sperm precedence in the rove beetle, list(""Aleochara curtula"") (Coleoptera: Staphylinidae), list(""Behaviour"") list(""136"") , 1065-1077.","NA",TRUE,FALSE
ABCp2,soap,Sperm Precedence Data from the Soapberry Bug,Offspring counts and proportional paternity by mating order for a breeding experiment of the soapberry bug conducted by SP Carroll (1991).,"A data frame with 18 observations on the following 4 variables. list(""\n"", ""    "", list(list(list(""Female"")), list(""a numeric vector to identify females."")), ""\n"", ""    "", list(list(list(""P2"")), list(""proportional paternity of the second male."")), ""\n"", ""    "", list(list(list(""Total_Offspring"")), list(""total number of offspring for the female."")), ""\n"", ""    "", list(list(list(""No_2nd_Male"")), list(""number of offspring sired by the second male."")), ""\n"", ""  "")","S. P. Carroll (1991) The adaptive significance of mate guarding in the soapberry bug, list(""Jadera haematoloma"") (Hemiptera: Rhopalidae), list(""Journal of Insect Behavior"") , list(""4"") , 509-530.","NA",TRUE,FALSE
ABCp2,newt,Sperm Precedence Data from the Rough-Skinned Newt,"Offspring counts from two clutches and proportional paternity by mating order for a breeding experiment of the rough-skinned newt conducted by Jones et al., (2002)","A data frame with 10 observations on the following 10 variables. list(""\n"", ""    "", list(list(list(""Female"")), list(""a numeric code to identify females."")), ""\n"", ""    "", list(list(list(""No_1st_Clutch"")), list(""total offspring in the first clutch."")), ""\n"", ""    "", list(list(list(""P2_1"")), list(""proportional paternity of the second male for the first clutch."")), ""\n"", ""    "", list(list(list(""No_2nd_Male_1st_Clutch"")), list(""total offspring sired by the second male from the first clutch."")), ""\n"", ""    "", list(list(list(""No_2nd_Clutch"")), list(""total offspring in the second clutch."")), 
    ""\n"", ""    "", list(list(list(""P2_2"")), list(""proportional paternity of the second male for the second clutch."")), ""\n"", ""    "", list(list(list(""No_2nd_Male_2nd_Clutch"")), list(""total offspring sired by the second male from the second clutch."")), ""\n"", ""    "", list(list(list(""Total_2nd_Male"")), list(""total offspring sired by the second male from both clutches."")), ""\n"", ""    "", list(list(list(""Total_Offspring"")), list(""total offspring for both clutches."")), ""\n"", ""    "", list(list(list(""Total_P2"")), 
        list(""total overall proportional paternity of the second male for both clutches."")), ""\n"", ""  "")","A. G. Jones, E. M. Adams, and S. J. Arnold (2002) A mechanism of first-male precedence in a vertebrate. list(""Proceedings of the National Academy of Sciences of the United States of America"") list(""99"") , 2078-2081.","NA",TRUE,FALSE
abctools,coal,Examples of coalescent data,Data generated from a coalescent model for genetic variation.,Matrices of parameters (first 2 columns) and summary statistics (remaining columns) from a coalescent model.,"NA","Blum, M. G. B., M. A. Nunes, D. Prangle and S. A. Sisson `A comparative review of dimension reduction methods in approximate Bayesian computation' Statistical Applications in Genetics and Molecular Biology 13 (2014) Hudson, R. R. `Generating samples under a Wright-Fisher neutral model of genetic variation' Bioinformatics 18 (2002) Joyce, P. and P. Marjoram `Approximately sufficient statistics and Bayesian computation' Statistical Applications in Genetics and Molecular Biology 7 (2008) Nunes, M. A. and D. J. Balding `On optimal selection of summary statistics for approximate Bayesian computation' Statistical Applications in Genetics and Molecular Biology 9 (2010) Nunes, M. A. and Prangle, D. abctools: an R package for tuning approximate Bayesian computation analyses. The R Journal 7 (2016)",FALSE,FALSE
abd,dataInfo,"list(""abd"") Data Sets","Information about the location of data sets in list(""Analysis of Biological\n"", ""Data"")","A data frame with 143 observations on the following 5 variables. list("" "", list(list(""name""), list(""name of data set"")), ""\n"", list(list(""chapter""), list(""chapter in which data set appears"")), ""\n"", list(list(""type""), list(""used in an "", list(""Example""), "" or a "", list(""Problem""))), ""\n"", list(list(""number""), list(""example or problem number"")), ""\n"", list(list(""sub""), list(""sub-problem: "", list(), "" "", list(""a""), "" "", list(""b""), "" "", list(""c""))), "" "")","NA","NA",TRUE,TRUE
abd,Seedlings,Number of Seedlings Per Quadrat,Data on frequency of seeding per quadrat for 80 hypothetical quadrats.,"A data frame with 8 observations on the following 2 variables. list("" "", list(list(""seedlings""), list(""a numeric vector"")), "" "", list(list(""count""), list(""a\n"", ""numeric vector"")), "" "")","NA","NA",TRUE,FALSE
abd,Stalkies1,Eye Widths in Stalk-Eyed Flies,"Eye width in 9 male stalk-eyed flies ( list(""Cyrtodiopsis dalmanni"") ).","a data frame with 9 observations of 1 variable list(""\n"", list(list(""eye.span""), list(""eye span (mm)"")), "" "")","Data provided by Kevin Fowler, University College, London.","NA",TRUE,FALSE
abd,BeeLifespans,Bee Lifespans,Lifespan of 33 foraging honey bees.,"A data frame with 33 observations on the following variable. list("" "", list(list(""hours""), list(""a numeric vector"")), "" "")","list(""inferred from"") Visscher, P.K. and R. Dukas. 1997. Survivorship of foraging honey bees. list(""Insectes Sociaux"") 44: 1-5.","NA",TRUE,FALSE
abd,Lobsters,Lobster Orientation,Orientation of 15 lobsters relative to initial position.,"A data frame with 15 observations of one variable. list(""\n"", list(list(""orientation""), list()), "" "")","Boles, L.C. and K.J. Lohmann. 2003. True navigation and magnetic maps in spiny lobsters. list(""Nature"") 421: 60-63.","list(""http://www.unc.edu/depts/geomag/PDFGeomag/BolesandLohmann2003.pdf"")",TRUE,FALSE
abd,MarineReserve,Marine Reserve Biomass,Relative biomass in 32 marine reserves.,"A data frame with 32 observations of one variable. list(""\n"", list(list(""biomass.ratio""), list()), "" "")","Halpern, B.S. 2003. The impact of marine reserves: do reserves work and does reserve size matter? list(""Ecological Applications"") 13: S117-S137.","NA",TRUE,FALSE
abd,Sumo,Sumo Wrestling Wins,Counts of number of wins for sumo wrestlers.,"A data frame with 16 observations on the following 2 variables. list("" "", list(list(""wins""), list(""a numeric vector"")), "" "", list(list(""count""), list(""a\n"", ""numeric vector"")), "" "")","Duggan, M. and S.D. Leavitt. 2002. Winning isn't everything: Corruption in sumo wrestling. list(""The American Economic Review"") 92: 1594-1605.","NA",TRUE,FALSE
abd,WorldCup,World Cup Goals,Number of goals per team during the 2002 World Cup.,"A data frame with 7 observations on the following 2 variables. list("" "", list(list(""score""), list(""a numeric vector"")), "" "", list(list(""count""), list(""a\n"", ""numeric vector"")), "" "")","NA","NA",TRUE,FALSE
abd,WrasseSexes,Distribution of Wrasses,Number and sex of adult wrasses in a section of the Great Barrier Reef.,"A data frame with 3 observations on the following 3 variables. list("" "", list(list(""males""), list(""a numeric vector"")), "" "", list(list(""females""), list(""a\n"", ""numeric vector"")), "" "", list(list(""count""), list(""a numeric vector"")), "" "")","NA","NA",TRUE,FALSE
abd,DesertBirds,Desert Bird Census Data,Census data for desert birds.,"A data frame with 43 observations on the following 2 variables. list("" "", list(list(""species""), list(""a character vector"")), "" "", list(list(""count""), list(""a\n"", ""numeric vector"")), "" "")","Sauer, J.R., J.E. Hines, and J. Fallon. 2003. The North American breeding bird survey, results and analysis 1966-2002. Version 2003.1. USGS Patuxent Wildlife Research Center, Laurel, MD.","list(""http://www.mbr-pwrc.usgs.gov/bbs/"")",TRUE,FALSE
abd,HippocampusLesions,Memory and the Hippocampus,"Spatial memory score ( list(""memory"") ) and percent lesion of the hippocampus ( list(""lesion"") ).","A data frame with 57 observations on the following 2 variables. list("" "", list(list(""lesion""), list(""a numeric vector"")), "" "", list(list(""memory""), list(""a\n"", ""numeric vector"")), "" "")","Broadbent, N.J., L.R. Squire, and R.E. Clark. 2004. Spatial memory, recognition memory, and the hippocampus. list(""Proceedings of the National\n"", ""Academy of Sciences (USA)"") 101: 14515-14520.","NA",TRUE,FALSE
abd,GlidingSnakes,GlidingSnakes,"Undulation rate ( list(""Hz"") ) of 8 paradise tree snakes ( list(""Chrysopelea\n"", ""paradisi"") ).","A data frame with eight observations of one variable. list(""\n"", list(list(""undulation.rate""), list(""undulation rate"")), "" "")","Socha, J.J. 2002. Gliding flight in the paradise tree snake. list(""Nature"") 418: 603-604.","list(""http://www.nature.com/nature/journal/v418/n6898/abs/418603a.html"") list(""http://www.flyingsnake.org/"")",TRUE,FALSE
abd,Toads,Right-handed Toads,Hypothetical probability of a toad being right-handed,"A data frame with 19 observations on the following 2 variables. list("" "", list(list(""n.toads""), list(""a numeric vector"")), "" "", list(list(""prob""), list(""a\n"", ""numeric vector"")), "" "")","NA","NA",TRUE,FALSE
abd,LizardBite,Bite Force in Collard Lizards,"Bite force (N) and territory area in 11 male collared lizards ( list(""Crotaphytus collaris"") ).","A data frame with 11 observations on the following 2 variables. list("" "", list(list(""bite""), list(""force of bite (N)"")), ""\n"", list(list(""territory""), list(""area of territory"")), "" "")","Lappin, A. K., and J. F. Husak. 2005. Weapon performance, not size, determines mating success and potential reproductive output in the collared lizard ( list(""Crotaphytus collaris"") ). list(""The American Naturalist"") 166: 426-436.","NA",TRUE,FALSE
abd,Antilles,Antilles Bird Immigration Dates,Approximate dates of immigration for 37 species of birds in the Lesser Antilles.,"A data frame with 37 observations of one variable. list(""\n"", list(list(""immigration.date""), list(""approximate immigration date (in millions of\n"", ""years)"")), "" "")","list(""inferred from"") Ricklefs, R.E. and E. Bermingham. 2001. Nonequilibrium diversity dynamics of the Lesser Antillean avifauna. list(""Science"") 294: 1522-1524.","list(""http://www.sciencemag.org/cgi/content/abstract/sci;294/5546/1522"")",TRUE,FALSE
abd,Beetles,Beetle Wings and Horns,"Relative size of the horns and wings in 19 female list(""Onthophagus\n"", ""sagittarius"") beetles.","A data frame with 19 observations on the following 2 variables. list("" "", list(list(""horn.size""), list(""a numeric vector"")), ""\n"", list(list(""wing.mass""), list(""a numeric vector"")), "" "")","Emlen, D.J. 2001. Costs and the diversification of exaggerated animal structures. list(""Science"") 291: 1534-1536.","list(""http://www.scienceonline.org/cgi/content/abstract/291/5508/1534"")",TRUE,FALSE
abd,BirdSexRatio,Sex Ratios in Birds,Correlation coefficient of sex ratio in bird offspring.,"A data frame with 15 observations of one variable list(""\n"", list(list(""corr.coeff""), list(""correlation coefficient of sex ratio in bird\n"", ""offspring"")), "" "")","West, S.A. and B.C. Sheldon. 2002. Constraints in the evolution of sex ratio adjustment. list(""Science"") 295: 1695-1688.","NA",TRUE,FALSE
abd,BodyFatHeatLoss,Heat Loss and Body Fat,Heat loss during exercise and relative body fat in 12 boys.,"A data frame with 12 observations on the following 2 variables. list("" "", list(list(""leanness""), list(""a numeric vector"")), ""\n"", list(list(""lossrate""), list(""a numeric vector"")), "" "")","Sloan, R.E.G. and W.R. Keatinge. 1973. Cooling rates of young people swimming in cold water. list(""Journal of Applied Physiology"") 35: 371-375.","list(""http://www.ncbi.nlm.nih.gov/pubmed/4732330"")",TRUE,FALSE
abd,BrainExpression,Proteolipid Protein 1 Gene Expression,"Expression levels of the proteolipid protein 1 gene (PLP1; list(""PLP1.expression"") ) in 45 individuals in one of three list(""group"") s.","A data frame with 45 observations on the following 2 variables. list("" "", list(list(""group""), list(""a factor with levels: "", list(""bipolar""), "",\n"", list(""control""), "", and "", list(""schizo""))), "" "", list(list(""PLP1.expression""), list(""a numeric\n"", ""vector"")), "" "")","list(""inferred from"") Tkachev, D., M.L. Mimmack, M.M. Ryan, M. Wayland, T. Freeman, P.B. Jones, M. Starkey, M.J. Webster, R.H. Yolken, S. Bahn. 2003. Oligodendrocyte dysfunction in schizophrenia and bipolar disorder. list(""Lancet"") 362(9386): 798-805.","NA",TRUE,FALSE
abd,Cavalry,Deaths from Horse Kicks,Numbers of deaths resulting from horse kicks per regiment-years for the Prussian army.,"A data frame with 5 observations on the following 2 variables. list("" "", list(list(""deaths""), list(""a numeric vector"")), "" "", list(list(""count""), list(""a\n"", ""numeric vector"")), "" "")","Bortkiewicz, L. 1898. Das Gesetz der Kleinen Zahlen (Teubner, Leipzig), list(""as cited in"") Larson, R.J. and M.L. Marx. 1981. list(""An\n"", ""Introduction to Mathematical Statistics and its Applications"") . Prentice-Hall: Englewood Cliffs, NJ.","NA",TRUE,FALSE
abd,ChimpBrains,Brodmann's Area 44 in Chimps,Asymmetry of Brodmann's area 44 in 20 chimpanzees.,"A data frame with 20 observations on the following 3 variables. list("" "", list(list(""name""), list(""name of chimp"")), "" "", list(list(""sex""), list(""a factor\n"", ""with levels "", list(""F""), "" and "", list(""M""))), "" "", list(list(""asymmetry""), list(""asymmetry score"")), ""\n"")","Cantalupo, C. and W.D. Hopkins. 2001. Asymmetric Broca's area in great apes. list(""Nature"") 414: 505.","NA",TRUE,FALSE
abd,Clearcuts,Biomass Change in Rainforests near Clearcuts,Biomass change in 36 Amazonian rainforests following clearcuts ranging from 50 m to several kilometers.,"A data frame with 36 observations of one variable. list(""\n"", list(list(""biomass.change""), list()), "" "")","Laurance, W.F., S.G. Laurance, L.V. Ferreira, J.M. Rankin-de Merona, C. Gascon, T.E. Lovejoy. 1997. Biomass collapse in Amazonian forest fragments. list(""Science"") 278: 1117-1118.","list(""http://www.sciencemag.org/cgi/content/abstract/278/5340/1117"")",TRUE,FALSE
abd,Crickets,Immunity and Sperm Viability in Crickets,"Sperm viability and immune function, measured by lysozyme activity in crickets. Each observation is a mean for a single family of males.","A data frame with 41 observations on the following 2 variables. list("" "", list(list(""sperm.viability""), list(""a numeric vector"")), ""\n"", list(list(""lysozyme""), list(""a numeric vector"")), "" "")","Simmons, L.W. and B. Roberts. 2005. Bacterial immunity traded for sperm viability in male crickets. list(""Science"") 309: 2031.","NA",TRUE,FALSE
abd,DEET,DEET and Mosquito Bites,Administered dose of DEET and number of mosquito bites for 52 women.,"A data frame with 52 observations on the following 2 variables. list("" "", list(list(""dose""), list(""a numeric vector"")), "" "", list(list(""bites""), list(""a\n"", ""numeric vector"")), "" "")","Golenda, C.F., V.B. Solberg, R. Burge, J.M. Gambel, and R.A. Wirtz. 1999. Gender-related efficacy difference to an extended duration formulation of topical N,N-diethyl- list(""m"") -toluamide (DEET). list(""American Journal of\n"", ""Tropical Medicine and Hygiene"") 60: 654-657.","NA",TRUE,FALSE
abd,DaphniaLongevity,Daphnia Longevity,"Number of spores and host longevity in the crustacean list(""Daphnia magna"") .","A data frame with 32 observations on the following 2 variables. list("" "", list(list(""longevity""), list(""a numeric vector"")), ""\n"", list(list(""sqrt.spores""), list(""a numeric vector"")), "" "")","Jensen, K.H., T.J. Little, A. Skorping, and D. Ebert. 2006. Empirical support for optimal virulence in a castrating parasite. list(""PLoS\n"", ""Biology"") 4(7): e197","list(""http://www.plosbiology.org/article/info:doi/10.1371/journal.pbio.0040197"")",TRUE,FALSE
abd,Dioecy,Dioecy vs. Monomorphism in Plants,"Number of list(""dioecious"") and list(""monomorphic"") taxa among pairs of closely related plants.","A data frame with 28 observations on the following 3 variables. list("" "", list(list(""dioecious""), list(""a numeric vector"")), ""\n"", list(list(""monomorphic""), list(""a numeric vector"")), ""\n"", list(list(""taxon.pair""), list(""identifier for pair"")), "" "")","Heilbuth, J.C. 2000. Lower species richness in dioecious clades. list(""The American Naturalist"") 156: 221-241.","NA",TRUE,FALSE
abd,Dolphins,Dolphin Swimming Behavior,Percentage of time 8 sleeping dolphins from the Southern Hemisphere spent swimming clockwise.,"A data frame with 8 observations on one variable. list(""\n"", list(list(""percent.clockwise""), list(""percent of time spent swimming clockwise\n"", ""while sleeping."")), "" "")","Stafne, G.M. and P.R. Manger. 2004. Predominance of clockwise swimming during rest in Southern Hemisphere dolphins. list(""Physiology and\n"", ""Behavior"") 82: 919-926.","list(""http://faculty.washington.edu/chudler/dolp.html"")",TRUE,FALSE
abd,Earthworms,Earthworm Diversity and Soil Nitrogen Levels,Number of earthworm species and total nitrogen content in the soil in 39 hardwood forest plots.,"A data frame with 39 observations on the following 2 variables. list("" "", list(list(""worm.species""), list(""a numeric vector"")), ""\n"", list(list(""nitrogen""), list(""a numeric vector"")), "" "")","Gundale, M.J., W.M. Jolly, and T.H. Deluca. 2005. Susceptibility of a northern hardwood forest to exotic earthworm invasion. list(""Conservation\n"", ""Biology"") 19: 1075-1083.","list(""http://www3.interscience.wiley.com/journal/118701215/abstract"")",TRUE,FALSE
abd,ElVerde,Diet Breadth in a Rainforest Community,"Number of different species ( list(""breadth"") ) in 127 species ( list(""no.species"") ) in the rainforest community at El Verde, Puerto Rico","A data frame with 38 observations on the following 2 variables. list("" "", list(list(""breadth""), list(""a numeric vector"")), ""\n"", list(list(""num.species""), list(""a numeric vector"")), "" "")","Waide R.B. and W.B. Reagan, eds. 1996. list(""The Food Web of a\n"", ""Tropical Rainforest"") . University of Chicago Press, Chicago.","NA",TRUE,FALSE
abd,EndangeredSpecies,Endangered and Threatened Species,Frequency of taxon groups on the U.S. Fish and Wildlife Service list of endangered and threatened species (2002).,"A data frame with 11 observations on the following 2 variables. list("" "", list(list(""taxon""), list(""a character vector"")), ""\n"", list(list(""num.species""), list(""a numeric vector"")), "" "")",U.S. Fish and Wildlife Service. 2001. Number of U.S. listed species per calendar year.,"list(""http://www.fws.gov/endangered/"")",TRUE,FALSE
abn,ex7.dag.data,Valdiation data set for use with abn library examples,"10648 observations across with 3 variables, 2 binary and 1 grouping variable. Real (anonymised) data of unknown structure.","A data frame, binary variables are factors list(""\n"", list(list(""b1""), list(""binary"")), ""\n"", list(list(""b2""), list(""binary"")), ""\n"", list(list(""group""), list(""factor,defines sampling groups"")), ""\n"", ""     "")","NA","NA",FALSE,FALSE
abn,ex6.dag.data,Valdiation data set for use with abn library examples,"800 observations across with 8 variables, 1 count, 2 binary and 4 continuous, and 1 grouping variable. Real (anonymised) data of unknown structure.","A data frame, binary variables are factors list(""\n"", list(list(""p1""), list(""count"")), ""\n"", list(list(""g1""), list(""continuous"")), ""\n"", list(list(""g2""), list(""continuous"")), ""\n"", list(list(""b1""), list(""binary"")), ""\n"", list(list(""b2""), list(""binary"")), ""\n"", list(list(""g3""), list(""continuous"")), ""\n"", list(list(""g4""), list(""continuous"")), ""\n"", list(list(""group""), list(""factor,defines sampling groups"")), ""\n"", ""     "")","NA","NA",FALSE,FALSE
